post_title,ID,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:fb_product_set
"Berry Bear 330 ml",574,simple,rated-5,Uncategorized,,,
"Thirsty Tucan 330 ml",581,simple,rated-5,Uncategorized,,,
"Metal Mole préslé 3L BiB",582,simple,,Uncategorized,,,
"Horny Hedgehog préslé 330 ml",584,simple,rated-5,Uncategorized,,,
"Metal Horny csomag akció",774,simple,,Uncategorized,,,
"Thirsty Berry 11+1 akciós csomag",776,simple,,Uncategorized,,,
"Horny Hedgehog préslé 750 ml",832,simple,,Uncategorized,,,
"Tranquil Turtle préslé 330 ml",1594,simple,,Uncategorized,,,
"Tranquil Turtle 750 ml",1598,simple,rated-5,Uncategorized,,,
"Tranquil Metal Horny 750 ml",1602,simple,rated-5,Uncategorized,,,
"Funky All In csomag - akció",1604,simple,,Uncategorized,,,
"Horny Tucan csomag 11+1 akció",1607,simple,rated-5,Uncategorized,,,
"Metal Berry csomag 11+1 akció",1608,simple,,Uncategorized,,,
"Funky Brothers csomag - akció",1649,simple,,Uncategorized,,,
"Tranquil Metal Horny 330 ml",1653,simple,rated-5,Uncategorized,,,
"Metal Mole préslé 750 ml",1674,simple,rated-5,Uncategorized,,,
"Wacky Wolf préslé 330 ml",1989,simple,,Uncategorized,,,
"Horny Hedgehog préslé 3L BiB",2010,simple,,Uncategorized,,,
"Tranquil Turtle 3L BiB",2012,simple,,Uncategorized,,,
"100% Alma préslé 3L BiB",2015,simple,,Uncategorized,,,
"Metal Mole préslé 330 ml",2019,simple,,Uncategorized,,,
"Wacky Wolf 330 ml",2849,simple,,Uncategorized,,,
"Lovely Llama préslé 330 ml",3144,simple,,Uncategorized,,,
"Funky Forest® ajándékutalvány",3500,simple,,gift,,,
"Rusty Racoon 330 ml",3541,simple,,Uncategorized,,,
"Funky Brothers 11+1 akciós csomag",5518,simple,,Uncategorized,,,
"Smoothie Gang 11+1 akciós csomag",5520,simple,,Uncategorized,,,
"Team Red 11+1 akciós csomag",5522,simple,,Uncategorized,,,
"Taste the Forest 11+1 akciós csomag",5531,simple,,Uncategorized,,,
"Full House - akció",5533,simple,,Uncategorized,,,
"Party Pack - akció",5535,simple,,Uncategorized,,,
"Winning Veggies",5537,simple,,Uncategorized,,,
"Smoothie Gang 11+1 akciós csomag",5660,simple,,Uncategorized,,,
"Team Red 11+1 akciós csomag",5662,simple,,Uncategorized,,,
"Taste the Forest 11+1 akciós csomag",5664,simple,,Uncategorized,,,
"Full House - akció",5666,simple,,Uncategorized,,,
"Winning Veggies",5667,simple,,Uncategorized,,,
"Berry Bear smoothie 250 ml",5671,simple,,Uncategorized,,,
"Rusty Racoon smoothie 250 ml",5673,simple,,Uncategorized,,,
"Thirsty Tucan smoothie 250 ml",5675,simple,,Uncategorized,,,
"Dear Deer préslé 750 ml",6191,simple,,Uncategorized,,,
"Karácsonyi Ajánlatunk",6642,simple,,Uncategorized,,,
"Funky Forest Essential 100%-os ribizli préslé 250 ml",6779,simple,,Uncategorized,,,
"Alma 100%-os préslé 750 ml",7441,simple,,Uncategorized,,,
"Ribizli-Alma préslé 3L BiB",7494,simple,,Uncategorized,,,
